"MonitoringLocation","TotalDepth_min","TotalDepth_max","maxSampleDepth_min","maxSampleDepth_max","n_DO_min","n_DO_max","year_min","year_max","TotalDepth_10","TotalDepth_90","maxSampleDepth_10","maxSampleDepth_90","n_DO_10","n_DO_90","Num_Events","boo.CBP144","Latitude","Longitude","UTMX","UTMY"
"XBJ3220",0.7,1.8,0.4,1.5,1,3,2011,2013,0.8,1.6,0.5,1.3,1,3,64,FALSE,38.053,-75.79975,429834,4211997
"XBJ9344",0.6,1.8,0.5,1.5,1,3,2011,2013,0.8,1.4,0.5,1.1,1,2,21,FALSE,38.15412,-75.75925,433479,4223187
"XBM8828",0.5,1,0.2,0.7,1,1,2005,2006,0.65,0.9,0.35,0.6,1,1,26,FALSE,38.14825,-75.28622,474921,4222302
"XCC4530",3,4.9,2.7,4.6,4,6,2006,2008,3.3,4.5,3,4.2,4,6,21,FALSE,38.2415,-76.9503,329324,4234408
"XCC8346",0.4,2,0.1,1.7,1,4,2006,2008,0.7,1.5,0.4,1.2,1,2.1,70,FALSE,38.3054,-76.9239,331782,4241451
"XCC9680",0.2,2.2,0.1,2,1,3,2006,2008,0.4,1.1,0.1,0.840000000000001,1,2,69,FALSE,38.3255,-76.866,336890,4243578
"XCD0340",1.5,3.3,1.2,3,3,5,2007,2008,1.72,2.84,1.42,2.54,3,5,14,FALSE,38.1715,-76.7656,345340,4226316
"XCD0517",5.7,7.1,5.4,6.8,7,8,2006,2008,6.2,6.9,5.9,6.6,7,8,21,FALSE,38.1744,-76.8056,341843,4226705
"XCD1466",7.9,9,7.6,8.7,9,10,2007,2008,8,8.67,7.7,8.37,9,10,14,FALSE,38.1896,-76.7231,349101,4228254
"XCD3596",2.9,8,2.6,7.7,5,9,2006,2008,5.3,6.3,5,6,6,7,21,FALSE,38.2246,-76.6732,353541,4232058
"XCD3765",4.3,6.1,4,5,5,6,2006,2008,5.19,5.91,4,5,5,6,20,FALSE,38.2272,-76.7247,349038,4232429
"XCD5599",1.7,3,1,2.5,1,5,2006,2009,2,2.5,1.2,2,2,4,81,FALSE,38.259,-76.6713,353777,4235873
"XCD6674",6.5,7.8,0.7,7,6,8,2006,2008,6.7,7.5,6,7,7,8,21,FALSE,38.276,-76.7095,350469,4237820
"XCD7202",1.7,4.5,1,4,2,5,2006,2008,1.8,3.9,1,3,2,4,21,FALSE,38.2859,-76.83,339950,4239120
"XCE0055",12.8,13.6,1,11,1,6,2008,2008,12.88,13.52,5,11,3,6,5,FALSE,38.16667,-76.575,362028,4225479
"XCE1407",6.8,8.3,6.5,8,7,9,2006,2008,7.3,8,7,7.7,8,9,21,FALSE,38.1894,-76.6556,355012,4228124
"XCE2643",4.3,7,4,6.7,5,8,2006,2008,5.3,6.7,5,6.4,6,8,21,FALSE,38.2092,-76.596,360270,4230230
"XCF1336",6.5,9.7,6,9,7,10,2004,2008,6.8,8.42,6,8,7,9,39,FALSE,38.1887,-76.4398,373910,4227731
"XCF1440",2.9,4.3,2.3,3.35,4,6,2008,2009,3.2,3.8,2.7,3.3,4,5,31,FALSE,38.1893,-76.4339,374428,4227790
